step,mloss,gloss,loss
100.0,0.0,0.9571,0.9571
200.0,0.0,0.8384,0.8384
300.0,0.0,0.7663,0.7663
400.0,0.0,0.7206,0.7206
500.0,0.0,0.6776,0.6776
600.0,0.0,0.6489,0.6489
700.0,0.0,0.6213,0.6213
800.0,0.0,0.6102,0.6102
900.0,0.0,0.5984,0.5984
1000.0,0.0,0.5844,0.5844
1100.0,0.0,0.5725,0.5725
1200.0,0.0,0.5618,0.5618
1300.0,0.0,0.5518,0.5518
1400.0,0.0,0.5376,0.5376
1500.0,0.0,0.5292,0.5292
1600.0,0.0,0.518,0.518
1700.0,0.0,0.5137,0.5137
1800.0,0.0,0.506,0.506
1900.0,0.0,0.4945,0.4945
2000.0,0.0,0.4839,0.4839
2100.0,0.0,0.4766,0.4766
2200.0,0.0,0.4713,0.4713
2300.0,0.0,0.4666,0.4666
2400.0,0.0,0.4599,0.4599
2500.0,0.0,0.4528,0.4528
2600.0,0.0,0.449,0.449
2700.0,0.0,0.4452,0.4452
2800.0,0.0,0.4404,0.4404
2900.0,0.0,0.4408,0.4408
3000.0,0.0,0.433,0.433
3100.0,0.0,0.4304,0.4304
3200.0,0.0,0.4274,0.4274
3300.0,0.0,0.4222,0.4222
3400.0,0.0,0.4184,0.4184
3500.0,0.0,0.4181,0.4181
3600.0,0.0,0.4111,0.4111
3700.0,0.0,0.414,0.414
3800.0,0.0,0.4103,0.4103
3900.0,0.0,0.4087,0.4087
4000.0,0.0,0.4028,0.4028
4100.0,0.0,0.4005,0.4005
4200.0,0.0,0.3997,0.3997
4300.0,0.0,0.4012,0.4012
4400.0,0.0,0.3952,0.3952
4500.0,0.0,0.3933,0.3933
4600.0,0.0,0.3923,0.3923
4700.0,0.0,0.3894,0.3894
4800.0,0.0,0.3884,0.3884
4900.0,0.0,0.3887,0.3887
5000.0,0.0,0.3863,0.3863
5100.0,0.0,0.3813,0.3813
5200.0,0.0,0.3809,0.3809
5300.0,0.0,0.3816,0.3816
5400.0,0.0,0.3771,0.3771
5500.0,0.0,0.3737,0.3737
5600.0,0.0,0.3749,0.3749
5700.0,0.0,0.3754,0.3754
5800.0,0.0,0.3707,0.3707
5900.0,0.0,0.3711,0.3711
6000.0,0.0,0.3669,0.3669
6100.0,0.0,0.3665,0.3665
6200.0,0.0,0.365,0.365
6300.0,0.0,0.364,0.364
6400.0,0.0,0.3603,0.3603
6500.0,0.0,0.3617,0.3617
6600.0,0.0,0.3605,0.3605
6700.0,0.0,0.3594,0.3594
6800.0,0.0,0.3594,0.3594
6900.0,0.0,0.3551,0.3551
7000.0,0.0,0.3548,0.3548
7100.0,0.0,0.3547,0.3547
7200.0,0.0,0.3508,0.3508
7300.0,0.0,0.3498,0.3498
7400.0,0.0,0.3495,0.3495
7500.0,0.0,0.3449,0.3449
7600.0,0.0,0.3488,0.3488
7700.0,0.0,0.3472,0.3472
7800.0,0.0,0.348,0.348
7900.0,0.0,0.3479,0.3479
8000.0,0.0,0.3443,0.3443
8100.0,0.0,0.3434,0.3434
8200.0,0.0,0.3419,0.3419
8300.0,0.0,0.3404,0.3404
8400.0,0.0,0.3412,0.3412
8500.0,0.0,0.3397,0.3397
8600.0,0.0,0.337,0.337
8700.0,0.0,0.3376,0.3376
8800.0,0.0,0.3361,0.3361
8900.0,0.0,0.3357,0.3357
9000.0,0.0,0.3325,0.3325
9100.0,0.0,0.3348,0.3348
9200.0,0.0,0.3311,0.3311
9300.0,0.0,0.3311,0.3311
9400.0,0.0,0.331,0.331
9500.0,0.0,0.3317,0.3317
9600.0,0.0,0.3317,0.3317
9700.0,0.0,0.3267,0.3267
