dataset,missing_rate,trial,train_rmse,train_mae,train_kl,val_rmse,val_mae,val_kl,test_rmse,test_mae,test_kl
dataset_mcar_10_trial1,10,1,0.5030885338783264,0.3251321315765381,1.4541330753257038,0.49822667241096497,0.3201424777507782,2.395296771148857,0.5076547861099243,0.3286614418029785,2.3304792920638255
dataset_mcar_10_trial2,10,2,0.502962589263916,0.3251040577888489,1.1444062819763996,0.48561105132102966,0.307840496301651,1.6982476585364088,0.4981667995452881,0.31714311242103577,1.91902940711891
dataset_mcar_10_trial3,10,3,0.5172529220581055,0.34021586179733276,1.1221883046118137,0.5191900730133057,0.34233322739601135,2.0791582685613155,0.5141950249671936,0.33533334732055664,2.152321007886987
dataset_mcar_10_trial4,10,4,0.5049479007720947,0.3263750374317169,0.9934455808575252,0.5026391744613647,0.3253818452358246,1.6540524206316725,0.5107238292694092,0.3340364098548889,1.5092846001982125
dataset_mcar_10_trial5,10,5,0.5220202803611755,0.3448396623134613,1.2297092142226604,0.5214954018592834,0.34172260761260986,1.918254993759504,0.5218166708946228,0.3436627686023712,2.6984820005523926
dataset_mcar_20_trial1,20,1,0.5278830528259277,0.3505080044269562,1.425802416036398,0.5297039747238159,0.3519522249698639,2.6064677788493995,0.5304812788963318,0.35175082087516785,2.2284486537557022
dataset_mcar_20_trial2,20,2,0.5309522151947021,0.3542628586292267,1.3152844952615748,0.5235921740531921,0.3467070162296295,2.018461660801824,0.5296007394790649,0.3502320349216461,2.611854264204616
dataset_mcar_20_trial3,20,3,0.5265164971351624,0.3499218225479126,1.3089883306812562,0.5238028764724731,0.3460999131202698,1.8753112326012855,0.5225321054458618,0.34406623244285583,2.6557745927464773
dataset_mcar_20_trial4,20,4,0.5298469066619873,0.3522484004497528,1.3347793229178275,0.5210997462272644,0.3443131148815155,2.1358811681672236,0.5275888442993164,0.35046178102493286,2.0307688283636303
dataset_mcar_20_trial5,20,5,0.5307456851005554,0.3537532091140747,1.2626508994995742,0.5309162735939026,0.3525683581829071,1.877981281683882,0.5318235754966736,0.35415494441986084,1.9299694071241031
dataset_mcar_30_trial1,30,1,0.5314632654190063,0.3544783890247345,1.390441571410399,0.5323578119277954,0.35544735193252563,1.9236837547928554,0.534519612789154,0.357639878988266,1.8907442755849533
dataset_mcar_30_trial2,30,2,0.520564615726471,0.3432465195655823,1.3130295986822327,0.5122649669647217,0.3352336883544922,1.967841043491572,0.5189527869224548,0.3403443694114685,2.2617939101847724
dataset_mcar_30_trial3,30,3,0.5099664926528931,0.3321588635444641,1.5708554610730625,0.5063170790672302,0.32829052209854126,2.2695048728230938,0.5111880302429199,0.33253103494644165,2.5708156110370535
dataset_mcar_30_trial4,30,4,0.5310108065605164,0.35351985692977905,1.2368213245245536,0.5257800221443176,0.34852778911590576,2.0931010619156565,0.5312067866325378,0.3545432984828949,1.615539616951798
dataset_mcar_30_trial5,30,5,0.5156456232070923,0.3374808132648468,1.4453669155277296,0.5151621103286743,0.33713847398757935,2.2647693137652927,0.5205842852592468,0.34263312816619873,3.068900232751095
dataset_mcar_40_trial1,40,1,0.5254718065261841,0.3479410707950592,1.54629034518861,0.5242965221405029,0.3469187319278717,2.0382716979576356,0.5278100967407227,0.34989649057388306,1.9489456136541734
dataset_mcar_40_trial2,40,2,0.5496770739555359,0.37438565492630005,1.5071178164843708,0.5491617321968079,0.37373435497283936,2.1395907576381403,0.547757089138031,0.3715726435184479,1.6304572198278664
dataset_mcar_40_trial3,40,3,0.5279019474983215,0.35080811381340027,1.4429459772243627,0.5204744935035706,0.34351247549057007,1.7713312053139583,0.530063271522522,0.35226500034332275,1.484299583946638
dataset_mcar_40_trial4,40,4,0.5290336608886719,0.3513256013393402,1.3050393977565402,0.5213265419006348,0.3436889052391052,1.8999092753038596,0.5327127575874329,0.3554915189743042,1.929565084929066
dataset_mcar_40_trial5,40,5,0.5346492528915405,0.35772863030433655,1.3695018214906052,0.5328357815742493,0.3550480902194977,1.6427207770913466,0.5337522029876709,0.3566661775112152,1.8636465527343145
dataset_mcar_50_trial1,50,1,0.5250117778778076,0.34745001792907715,1.6074317272150835,0.5251637101173401,0.3477615416049957,2.2544183064443994,0.5239081382751465,0.3456543982028961,2.10455229514287
dataset_mcar_50_trial2,50,2,0.5426318049430847,0.36660706996917725,1.473086289554891,0.541854977607727,0.3659738302230835,2.10421870469878,0.541626513004303,0.3643437623977661,1.9721812244267767
dataset_mcar_50_trial3,50,3,0.5316004157066345,0.3544198274612427,1.636189905475306,0.5283626914024353,0.351138174533844,3.0931172326261924,0.532730758190155,0.35474950075149536,2.1468082292039554
dataset_mcar_50_trial4,50,4,0.5303212404251099,0.3527563810348511,1.4351649451932775,0.5253918766975403,0.34888148307800293,1.8640930294396676,0.5288921594619751,0.3513689339160919,1.8921594253406695
dataset_mcar_50_trial5,50,5,0.5297709107398987,0.3525349497795105,1.4612431133096837,0.5223672389984131,0.34408777952194214,2.1762842437248833,0.5301090478897095,0.3531636893749237,2.263072674056111
