step,mloss,gloss,loss
100.0,0.0,0.9609,0.9609
200.0,0.0,0.8436,0.8436
300.0,0.0,0.7718,0.7718
400.0,0.0,0.724,0.724
500.0,0.0,0.6791,0.6791
600.0,0.0,0.6491,0.6491
700.0,0.0,0.6215,0.6215
800.0,0.0,0.6092,0.6092
900.0,0.0,0.5977,0.5977
1000.0,0.0,0.5828,0.5828
1100.0,0.0,0.5713,0.5713
1200.0,0.0,0.5613,0.5613
1300.0,0.0,0.5523,0.5523
1400.0,0.0,0.5401,0.5401
1500.0,0.0,0.5346,0.5346
1600.0,0.0,0.5239,0.5239
1700.0,0.0,0.5212,0.5212
1800.0,0.0,0.5162,0.5162
1900.0,0.0,0.5065,0.5065
2000.0,0.0,0.499,0.499
2100.0,0.0,0.4935,0.4935
2200.0,0.0,0.4887,0.4887
2300.0,0.0,0.4845,0.4845
2400.0,0.0,0.48,0.48
2500.0,0.0,0.4741,0.4741
2600.0,0.0,0.4694,0.4694
2700.0,0.0,0.4649,0.4649
2800.0,0.0,0.4606,0.4606
2900.0,0.0,0.4607,0.4607
3000.0,0.0,0.4531,0.4531
3100.0,0.0,0.4502,0.4502
3200.0,0.0,0.4476,0.4476
3300.0,0.0,0.4426,0.4426
3400.0,0.0,0.4366,0.4366
3500.0,0.0,0.4368,0.4368
3600.0,0.0,0.4301,0.4301
3700.0,0.0,0.4312,0.4312
3800.0,0.0,0.4271,0.4271
3900.0,0.0,0.4253,0.4253
4000.0,0.0,0.4205,0.4205
4100.0,0.0,0.4167,0.4167
4200.0,0.0,0.414,0.414
4300.0,0.0,0.4149,0.4149
4400.0,0.0,0.4083,0.4083
4500.0,0.0,0.4052,0.4052
4600.0,0.0,0.4025,0.4025
4700.0,0.0,0.3999,0.3999
4800.0,0.0,0.3967,0.3967
4900.0,0.0,0.3957,0.3957
5000.0,0.0,0.392,0.392
5100.0,0.0,0.3864,0.3864
5200.0,0.0,0.3853,0.3853
5300.0,0.0,0.3855,0.3855
5400.0,0.0,0.3802,0.3802
5500.0,0.0,0.3763,0.3763
5600.0,0.0,0.3757,0.3757
5700.0,0.0,0.3746,0.3746
5800.0,0.0,0.3714,0.3714
5900.0,0.0,0.3717,0.3717
6000.0,0.0,0.3664,0.3664
6100.0,0.0,0.3664,0.3664
6200.0,0.0,0.3641,0.3641
6300.0,0.0,0.3629,0.3629
6400.0,0.0,0.3592,0.3592
6500.0,0.0,0.3608,0.3608
6600.0,0.0,0.359,0.359
6700.0,0.0,0.3578,0.3578
6800.0,0.0,0.3584,0.3584
6900.0,0.0,0.3542,0.3542
7000.0,0.0,0.3552,0.3552
7100.0,0.0,0.3555,0.3555
7200.0,0.0,0.3503,0.3503
7300.0,0.0,0.3488,0.3488
7400.0,0.0,0.349,0.349
7500.0,0.0,0.3459,0.3459
7600.0,0.0,0.3487,0.3487
7700.0,0.0,0.3463,0.3463
7800.0,0.0,0.3474,0.3474
7900.0,0.0,0.3485,0.3485
8000.0,0.0,0.3431,0.3431
8100.0,0.0,0.3445,0.3445
8200.0,0.0,0.343,0.343
8300.0,0.0,0.3409,0.3409
8400.0,0.0,0.3433,0.3433
8500.0,0.0,0.3408,0.3408
8600.0,0.0,0.3389,0.3389
8700.0,0.0,0.3385,0.3385
8800.0,0.0,0.3372,0.3372
8900.0,0.0,0.3371,0.3371
9000.0,0.0,0.3355,0.3355
9100.0,0.0,0.3376,0.3376
9200.0,0.0,0.3331,0.3331
9300.0,0.0,0.3338,0.3338
9400.0,0.0,0.3352,0.3352
9500.0,0.0,0.3346,0.3346
9600.0,0.0,0.334,0.334
9700.0,0.0,0.3295,0.3295
9800.0,0.0,0.3304,0.3304
9900.0,0.0,0.3287,0.3287
10000.0,0.0,0.3309,0.3309
10100.0,0.0,0.3291,0.3291
10200.0,0.0,0.3292,0.3292
10300.0,0.0,0.3242,0.3242
10400.0,0.0,0.3236,0.3236
10500.0,0.0,0.3269,0.3269
10600.0,0.0,0.3253,0.3253
10700.0,0.0,0.3255,0.3255
10800.0,0.0,0.3253,0.3253
10900.0,0.0,0.3221,0.3221
11000.0,0.0,0.3227,0.3227
11100.0,0.0,0.3218,0.3218
11200.0,0.0,0.324,0.324
11300.0,0.0,0.3209,0.3209
11400.0,0.0,0.321,0.321
11500.0,0.0,0.3209,0.3209
11600.0,0.0,0.3203,0.3203
11700.0,0.0,0.3219,0.3219
11800.0,0.0,0.3188,0.3188
11900.0,0.0,0.3153,0.3153
12000.0,0.0,0.318,0.318
12100.0,0.0,0.3178,0.3178
12200.0,0.0,0.3167,0.3167
12300.0,0.0,0.3158,0.3158
12400.0,0.0,0.3155,0.3155
12500.0,0.0,0.3132,0.3132
12600.0,0.0,0.3129,0.3129
12700.0,0.0,0.3131,0.3131
12800.0,0.0,0.3113,0.3113
12900.0,0.0,0.3114,0.3114
13000.0,0.0,0.3145,0.3145
13100.0,0.0,0.3086,0.3086
13200.0,0.0,0.3119,0.3119
13300.0,0.0,0.3091,0.3091
13400.0,0.0,0.3075,0.3075
13500.0,0.0,0.3103,0.3103
13600.0,0.0,0.3074,0.3074
13700.0,0.0,0.3061,0.3061
13800.0,0.0,0.3068,0.3068
13900.0,0.0,0.3064,0.3064
14000.0,0.0,0.3054,0.3054
14100.0,0.0,0.3031,0.3031
14200.0,0.0,0.3039,0.3039
14300.0,0.0,0.3049,0.3049
14400.0,0.0,0.302,0.302
14500.0,0.0,0.305,0.305
14600.0,0.0,0.3037,0.3037
14700.0,0.0,0.3028,0.3028
14800.0,0.0,0.3023,0.3023
14900.0,0.0,0.3022,0.3022
15000.0,0.0,0.302,0.302
15100.0,0.0,0.301,0.301
15200.0,0.0,0.2983,0.2983
15300.0,0.0,0.2979,0.2979
15400.0,0.0,0.3013,0.3013
15500.0,0.0,0.2997,0.2997
15600.0,0.0,0.2999,0.2999
15700.0,0.0,0.2968,0.2968
15800.0,0.0,0.2944,0.2944
15900.0,0.0,0.2949,0.2949
16000.0,0.0,0.2956,0.2956
16100.0,0.0,0.2962,0.2962
16200.0,0.0,0.294,0.294
16300.0,0.0,0.297,0.297
16400.0,0.0,0.2943,0.2943
