step,mloss,gloss,loss
100.0,0.0,0.959,0.959
200.0,0.0,0.8411,0.8411
300.0,0.0,0.7684,0.7684
400.0,0.0,0.7234,0.7234
500.0,0.0,0.6795,0.6795
600.0,0.0,0.6486,0.6486
700.0,0.0,0.6204,0.6204
800.0,0.0,0.6074,0.6074
900.0,0.0,0.595,0.595
1000.0,0.0,0.5811,0.5811
1100.0,0.0,0.5681,0.5681
1200.0,0.0,0.5572,0.5572
1300.0,0.0,0.5497,0.5497
1400.0,0.0,0.5374,0.5374
1500.0,0.0,0.5305,0.5305
1600.0,0.0,0.5211,0.5211
1700.0,0.0,0.519,0.519
1800.0,0.0,0.5128,0.5128
1900.0,0.0,0.5048,0.5048
2000.0,0.0,0.4974,0.4974
2100.0,0.0,0.4897,0.4897
2200.0,0.0,0.4851,0.4851
2300.0,0.0,0.4814,0.4814
2400.0,0.0,0.4772,0.4772
2500.0,0.0,0.4705,0.4705
2600.0,0.0,0.4673,0.4673
2700.0,0.0,0.4634,0.4634
2800.0,0.0,0.4597,0.4597
2900.0,0.0,0.4581,0.4581
3000.0,0.0,0.4525,0.4525
3100.0,0.0,0.4477,0.4477
3200.0,0.0,0.4452,0.4452
3300.0,0.0,0.4403,0.4403
3400.0,0.0,0.4341,0.4341
3500.0,0.0,0.4347,0.4347
3600.0,0.0,0.427,0.427
3700.0,0.0,0.4273,0.4273
3800.0,0.0,0.4245,0.4245
3900.0,0.0,0.4213,0.4213
4000.0,0.0,0.4177,0.4177
4100.0,0.0,0.4136,0.4136
4200.0,0.0,0.4117,0.4117
4300.0,0.0,0.4122,0.4122
4400.0,0.0,0.4071,0.4071
4500.0,0.0,0.404,0.404
4600.0,0.0,0.4021,0.4021
4700.0,0.0,0.3978,0.3978
4800.0,0.0,0.3938,0.3938
4900.0,0.0,0.3942,0.3942
5000.0,0.0,0.3913,0.3913
5100.0,0.0,0.3837,0.3837
5200.0,0.0,0.3827,0.3827
5300.0,0.0,0.3808,0.3808
5400.0,0.0,0.3757,0.3757
5500.0,0.0,0.3727,0.3727
5600.0,0.0,0.3746,0.3746
5700.0,0.0,0.3726,0.3726
5800.0,0.0,0.3689,0.3689
5900.0,0.0,0.3694,0.3694
6000.0,0.0,0.364,0.364
6100.0,0.0,0.3626,0.3626
6200.0,0.0,0.3613,0.3613
6300.0,0.0,0.3604,0.3604
6400.0,0.0,0.3574,0.3574
6500.0,0.0,0.3575,0.3575
6600.0,0.0,0.3572,0.3572
6700.0,0.0,0.3546,0.3546
6800.0,0.0,0.3566,0.3566
6900.0,0.0,0.3513,0.3513
7000.0,0.0,0.351,0.351
7100.0,0.0,0.3511,0.3511
7200.0,0.0,0.3473,0.3473
7300.0,0.0,0.3452,0.3452
7400.0,0.0,0.346,0.346
7500.0,0.0,0.3435,0.3435
7600.0,0.0,0.3454,0.3454
7700.0,0.0,0.3439,0.3439
7800.0,0.0,0.3451,0.3451
