step,mloss,gloss,loss
100.0,0.0,0.9577,0.9577
200.0,0.0,0.8395,0.8395
300.0,0.0,0.7665,0.7665
400.0,0.0,0.7221,0.7221
500.0,0.0,0.6795,0.6795
600.0,0.0,0.6496,0.6496
700.0,0.0,0.6237,0.6237
800.0,0.0,0.6125,0.6125
900.0,0.0,0.601,0.601
1000.0,0.0,0.5867,0.5867
1100.0,0.0,0.5754,0.5754
1200.0,0.0,0.5646,0.5646
1300.0,0.0,0.5555,0.5555
1400.0,0.0,0.5429,0.5429
1500.0,0.0,0.5371,0.5371
1600.0,0.0,0.5273,0.5273
1700.0,0.0,0.5238,0.5238
1800.0,0.0,0.518,0.518
1900.0,0.0,0.5083,0.5083
2000.0,0.0,0.4994,0.4994
2100.0,0.0,0.4915,0.4915
2200.0,0.0,0.4855,0.4855
2300.0,0.0,0.4809,0.4809
2400.0,0.0,0.476,0.476
2500.0,0.0,0.4683,0.4683
2600.0,0.0,0.463,0.463
2700.0,0.0,0.4586,0.4586
2800.0,0.0,0.4544,0.4544
2900.0,0.0,0.4532,0.4532
3000.0,0.0,0.4461,0.4461
3100.0,0.0,0.4411,0.4411
3200.0,0.0,0.439,0.439
3300.0,0.0,0.4329,0.4329
3400.0,0.0,0.4264,0.4264
3500.0,0.0,0.4281,0.4281
3600.0,0.0,0.4207,0.4207
3700.0,0.0,0.4208,0.4208
3800.0,0.0,0.4179,0.4179
3900.0,0.0,0.4156,0.4156
4000.0,0.0,0.4107,0.4107
4100.0,0.0,0.4063,0.4063
4200.0,0.0,0.4066,0.4066
4300.0,0.0,0.4056,0.4056
4400.0,0.0,0.4019,0.4019
4500.0,0.0,0.3964,0.3964
4600.0,0.0,0.3957,0.3957
4700.0,0.0,0.3917,0.3917
4800.0,0.0,0.3916,0.3916
4900.0,0.0,0.391,0.391
5000.0,0.0,0.3871,0.3871
5100.0,0.0,0.3809,0.3809
5200.0,0.0,0.3804,0.3804
5300.0,0.0,0.3819,0.3819
5400.0,0.0,0.3742,0.3742
5500.0,0.0,0.3729,0.3729
5600.0,0.0,0.3737,0.3737
5700.0,0.0,0.3724,0.3724
