step,mloss,gloss,loss
100.0,0.0,0.9444,0.9444
200.0,0.0,0.8145,0.8145
300.0,0.0,0.7391,0.7391
400.0,0.0,0.6897,0.6897
500.0,0.0,0.638,0.638
600.0,0.0,0.6017,0.6017
700.0,0.0,0.5692,0.5692
800.0,0.0,0.5542,0.5542
900.0,0.0,0.5413,0.5413
1000.0,0.0,0.5269,0.5269
1100.0,0.0,0.5139,0.5139
1200.0,0.0,0.505,0.505
1300.0,0.0,0.495,0.495
1400.0,0.0,0.4841,0.4841
1500.0,0.0,0.4792,0.4792
1600.0,0.0,0.4677,0.4677
1700.0,0.0,0.4669,0.4669
1800.0,0.0,0.4615,0.4615
1900.0,0.0,0.4525,0.4525
2000.0,0.0,0.4452,0.4452
2100.0,0.0,0.4396,0.4396
2200.0,0.0,0.4353,0.4353
2300.0,0.0,0.4308,0.4308
2400.0,0.0,0.4258,0.4258
2500.0,0.0,0.4196,0.4196
2600.0,0.0,0.4153,0.4153
2700.0,0.0,0.4145,0.4145
2800.0,0.0,0.4105,0.4105
2900.0,0.0,0.4101,0.4101
3000.0,0.0,0.4029,0.4029
3100.0,0.0,0.3981,0.3981
3200.0,0.0,0.3969,0.3969
3300.0,0.0,0.3915,0.3915
3400.0,0.0,0.3874,0.3874
3500.0,0.0,0.3895,0.3895
3600.0,0.0,0.3816,0.3816
3700.0,0.0,0.3836,0.3836
3800.0,0.0,0.3807,0.3807
3900.0,0.0,0.3786,0.3786
4000.0,0.0,0.3737,0.3737
4100.0,0.0,0.3705,0.3705
4200.0,0.0,0.371,0.371
4300.0,0.0,0.3726,0.3726
4400.0,0.0,0.368,0.368
4500.0,0.0,0.3659,0.3659
4600.0,0.0,0.366,0.366
4700.0,0.0,0.3627,0.3627
4800.0,0.0,0.3622,0.3622
4900.0,0.0,0.3623,0.3623
5000.0,0.0,0.3604,0.3604
5100.0,0.0,0.3568,0.3568
5200.0,0.0,0.3549,0.3549
5300.0,0.0,0.3568,0.3568
5400.0,0.0,0.3523,0.3523
5500.0,0.0,0.3493,0.3493
5600.0,0.0,0.3522,0.3522
5700.0,0.0,0.3533,0.3533
5800.0,0.0,0.348,0.348
5900.0,0.0,0.3499,0.3499
6000.0,0.0,0.3458,0.3458
6100.0,0.0,0.3433,0.3433
6200.0,0.0,0.3429,0.3429
6300.0,0.0,0.3437,0.3437
6400.0,0.0,0.3411,0.3411
6500.0,0.0,0.3426,0.3426
6600.0,0.0,0.341,0.341
6700.0,0.0,0.34,0.34
6800.0,0.0,0.3404,0.3404
6900.0,0.0,0.3371,0.3371
7000.0,0.0,0.3382,0.3382
7100.0,0.0,0.3389,0.3389
7200.0,0.0,0.3348,0.3348
7300.0,0.0,0.333,0.333
7400.0,0.0,0.334,0.334
7500.0,0.0,0.3306,0.3306
7600.0,0.0,0.3328,0.3328
7700.0,0.0,0.3314,0.3314
7800.0,0.0,0.3332,0.3332
7900.0,0.0,0.3317,0.3317
8000.0,0.0,0.3289,0.3289
8100.0,0.0,0.3292,0.3292
8200.0,0.0,0.3272,0.3272
8300.0,0.0,0.3271,0.3271
8400.0,0.0,0.3288,0.3288
8500.0,0.0,0.3253,0.3253
8600.0,0.0,0.3236,0.3236
8700.0,0.0,0.3256,0.3256
8800.0,0.0,0.3235,0.3235
8900.0,0.0,0.3233,0.3233
9000.0,0.0,0.3209,0.3209
9100.0,0.0,0.3234,0.3234
9200.0,0.0,0.3177,0.3177
9300.0,0.0,0.3204,0.3204
9400.0,0.0,0.3205,0.3205
9500.0,0.0,0.3201,0.3201
9600.0,0.0,0.321,0.321
9700.0,0.0,0.3159,0.3159
9800.0,0.0,0.3173,0.3173
9900.0,0.0,0.3141,0.3141
10000.0,0.0,0.3167,0.3167
10100.0,0.0,0.315,0.315
10200.0,0.0,0.3153,0.3153
10300.0,0.0,0.3124,0.3124
10400.0,0.0,0.3104,0.3104
10500.0,0.0,0.312,0.312
10600.0,0.0,0.313,0.313
10700.0,0.0,0.3137,0.3137
10800.0,0.0,0.314,0.314
10900.0,0.0,0.3105,0.3105
11000.0,0.0,0.3119,0.3119
11100.0,0.0,0.3084,0.3084
11200.0,0.0,0.3091,0.3091
11300.0,0.0,0.3084,0.3084
11400.0,0.0,0.3092,0.3092
11500.0,0.0,0.3093,0.3093
11600.0,0.0,0.309,0.309
11700.0,0.0,0.3102,0.3102
11800.0,0.0,0.3057,0.3057
11900.0,0.0,0.305,0.305
12000.0,0.0,0.3065,0.3065
12100.0,0.0,0.3059,0.3059
12200.0,0.0,0.3048,0.3048
12300.0,0.0,0.3051,0.3051
12400.0,0.0,0.3031,0.3031
12500.0,0.0,0.3012,0.3012
12600.0,0.0,0.3034,0.3034
12700.0,0.0,0.3012,0.3012
12800.0,0.0,0.3014,0.3014
12900.0,0.0,0.3004,0.3004
13000.0,0.0,0.3041,0.3041
13100.0,0.0,0.2976,0.2976
13200.0,0.0,0.3007,0.3007
13300.0,0.0,0.2987,0.2987
13400.0,0.0,0.2975,0.2975
13500.0,0.0,0.3,0.3
13600.0,0.0,0.2967,0.2967
13700.0,0.0,0.2961,0.2961
13800.0,0.0,0.2964,0.2964
13900.0,0.0,0.2959,0.2959
14000.0,0.0,0.2954,0.2954
14100.0,0.0,0.2933,0.2933
14200.0,0.0,0.2947,0.2947
14300.0,0.0,0.294,0.294
14400.0,0.0,0.2923,0.2923
14500.0,0.0,0.2946,0.2946
14600.0,0.0,0.2926,0.2926
14700.0,0.0,0.2938,0.2938
14800.0,0.0,0.2932,0.2932
14900.0,0.0,0.2921,0.2921
15000.0,0.0,0.2919,0.2919
15100.0,0.0,0.2905,0.2905
15200.0,0.0,0.2904,0.2904
15300.0,0.0,0.2899,0.2899
15400.0,0.0,0.2905,0.2905
15500.0,0.0,0.2904,0.2904
15600.0,0.0,0.2897,0.2897
15700.0,0.0,0.2856,0.2856
15800.0,0.0,0.2852,0.2852
15900.0,0.0,0.285,0.285
16000.0,0.0,0.2869,0.2869
16100.0,0.0,0.2867,0.2867
16200.0,0.0,0.2858,0.2858
16300.0,0.0,0.2881,0.2881
16400.0,0.0,0.2866,0.2866
16500.0,0.0,0.2838,0.2838
16600.0,0.0,0.2851,0.2851
16700.0,0.0,0.2808,0.2808
16800.0,0.0,0.2838,0.2838
16900.0,0.0,0.2824,0.2824
17000.0,0.0,0.2844,0.2844
17100.0,0.0,0.2821,0.2821
17200.0,0.0,0.2803,0.2803
17300.0,0.0,0.2816,0.2816
17400.0,0.0,0.2808,0.2808
17500.0,0.0,0.2811,0.2811
17600.0,0.0,0.2808,0.2808
17700.0,0.0,0.2797,0.2797
17800.0,0.0,0.2777,0.2777
17900.0,0.0,0.2795,0.2795
18000.0,0.0,0.2806,0.2806
18100.0,0.0,0.2787,0.2787
18200.0,0.0,0.2774,0.2774
18300.0,0.0,0.2807,0.2807
18400.0,0.0,0.276,0.276
18500.0,0.0,0.2766,0.2766
18600.0,0.0,0.2763,0.2763
18700.0,0.0,0.2759,0.2759
18800.0,0.0,0.277,0.277
18900.0,0.0,0.276,0.276
19000.0,0.0,0.273,0.273
19100.0,0.0,0.2754,0.2754
19200.0,0.0,0.2752,0.2752
19300.0,0.0,0.2735,0.2735
19400.0,0.0,0.2747,0.2747
19500.0,0.0,0.2718,0.2718
19600.0,0.0,0.2728,0.2728
19700.0,0.0,0.2721,0.2721
19800.0,0.0,0.2745,0.2745
19900.0,0.0,0.2757,0.2757
20000.0,0.0,0.2714,0.2714
20100.0,0.0,0.2718,0.2718
20200.0,0.0,0.2685,0.2685
20300.0,0.0,0.2743,0.2743
20400.0,0.0,0.2708,0.2708
20500.0,0.0,0.268,0.268
20600.0,0.0,0.2692,0.2692
