step,mloss,gloss,loss
100.0,0.0,0.9452,0.9452
200.0,0.0,0.8144,0.8144
300.0,0.0,0.7392,0.7392
400.0,0.0,0.6905,0.6905
500.0,0.0,0.6408,0.6408
600.0,0.0,0.6044,0.6044
700.0,0.0,0.572,0.572
800.0,0.0,0.5573,0.5573
900.0,0.0,0.543,0.543
1000.0,0.0,0.5279,0.5279
1100.0,0.0,0.5186,0.5186
1200.0,0.0,0.506,0.506
1300.0,0.0,0.4976,0.4976
1400.0,0.0,0.4867,0.4867
1500.0,0.0,0.481,0.481
1600.0,0.0,0.4703,0.4703
1700.0,0.0,0.4691,0.4691
1800.0,0.0,0.464,0.464
1900.0,0.0,0.4543,0.4543
2000.0,0.0,0.4472,0.4472
2100.0,0.0,0.4404,0.4404
2200.0,0.0,0.4369,0.4369
2300.0,0.0,0.4325,0.4325
2400.0,0.0,0.4291,0.4291
2500.0,0.0,0.4218,0.4218
2600.0,0.0,0.4197,0.4197
2700.0,0.0,0.4155,0.4155
2800.0,0.0,0.4133,0.4133
2900.0,0.0,0.413,0.413
3000.0,0.0,0.4068,0.4068
3100.0,0.0,0.4024,0.4024
3200.0,0.0,0.3999,0.3999
3300.0,0.0,0.3958,0.3958
3400.0,0.0,0.3914,0.3914
3500.0,0.0,0.3944,0.3944
3600.0,0.0,0.3868,0.3868
3700.0,0.0,0.3878,0.3878
3800.0,0.0,0.3869,0.3869
3900.0,0.0,0.3835,0.3835
4000.0,0.0,0.3785,0.3785
4100.0,0.0,0.3761,0.3761
4200.0,0.0,0.3765,0.3765
4300.0,0.0,0.3776,0.3776
4400.0,0.0,0.3719,0.3719
4500.0,0.0,0.3698,0.3698
4600.0,0.0,0.3691,0.3691
4700.0,0.0,0.3665,0.3665
4800.0,0.0,0.3665,0.3665
4900.0,0.0,0.3675,0.3675
5000.0,0.0,0.3637,0.3637
5100.0,0.0,0.3608,0.3608
5200.0,0.0,0.3591,0.3591
5300.0,0.0,0.3618,0.3618
5400.0,0.0,0.3555,0.3555
5500.0,0.0,0.3537,0.3537
5600.0,0.0,0.3553,0.3553
5700.0,0.0,0.3555,0.3555
5800.0,0.0,0.3516,0.3516
5900.0,0.0,0.3513,0.3513
6000.0,0.0,0.3477,0.3477
6100.0,0.0,0.3474,0.3474
6200.0,0.0,0.3469,0.3469
6300.0,0.0,0.345,0.345
6400.0,0.0,0.3442,0.3442
6500.0,0.0,0.3452,0.3452
6600.0,0.0,0.3453,0.3453
6700.0,0.0,0.3444,0.3444
6800.0,0.0,0.3437,0.3437
6900.0,0.0,0.3409,0.3409
7000.0,0.0,0.34,0.34
7100.0,0.0,0.3415,0.3415
7200.0,0.0,0.336,0.336
7300.0,0.0,0.3354,0.3354
7400.0,0.0,0.3356,0.3356
7500.0,0.0,0.3337,0.3337
7600.0,0.0,0.3358,0.3358
7700.0,0.0,0.3345,0.3345
7800.0,0.0,0.3353,0.3353
7900.0,0.0,0.3342,0.3342
8000.0,0.0,0.3308,0.3308
8100.0,0.0,0.3328,0.3328
8200.0,0.0,0.3306,0.3306
8300.0,0.0,0.3289,0.3289
8400.0,0.0,0.3304,0.3304
8500.0,0.0,0.328,0.328
8600.0,0.0,0.3268,0.3268
8700.0,0.0,0.3267,0.3267
8800.0,0.0,0.3254,0.3254
8900.0,0.0,0.3233,0.3233
9000.0,0.0,0.3226,0.3226
9100.0,0.0,0.3263,0.3263
9200.0,0.0,0.3204,0.3204
9300.0,0.0,0.322,0.322
9400.0,0.0,0.3225,0.3225
9500.0,0.0,0.3229,0.3229
9600.0,0.0,0.3216,0.3216
9700.0,0.0,0.3182,0.3182
9800.0,0.0,0.3188,0.3188
9900.0,0.0,0.3162,0.3162
10000.0,0.0,0.3182,0.3182
10100.0,0.0,0.3173,0.3173
10200.0,0.0,0.3177,0.3177
10300.0,0.0,0.3144,0.3144
10400.0,0.0,0.3122,0.3122
10500.0,0.0,0.3135,0.3135
10600.0,0.0,0.3147,0.3147
10700.0,0.0,0.3149,0.3149
10800.0,0.0,0.3145,0.3145
10900.0,0.0,0.3111,0.3111
11000.0,0.0,0.3126,0.3126
11100.0,0.0,0.3097,0.3097
11200.0,0.0,0.312,0.312
11300.0,0.0,0.3106,0.3106
11400.0,0.0,0.3092,0.3092
11500.0,0.0,0.3105,0.3105
11600.0,0.0,0.3095,0.3095
11700.0,0.0,0.3108,0.3108
11800.0,0.0,0.3082,0.3082
11900.0,0.0,0.3061,0.3061
12000.0,0.0,0.3082,0.3082
12100.0,0.0,0.3071,0.3071
12200.0,0.0,0.3059,0.3059
12300.0,0.0,0.3059,0.3059
12400.0,0.0,0.3039,0.3039
12500.0,0.0,0.3026,0.3026
12600.0,0.0,0.3042,0.3042
12700.0,0.0,0.3026,0.3026
12800.0,0.0,0.3016,0.3016
12900.0,0.0,0.3017,0.3017
13000.0,0.0,0.3058,0.3058
13100.0,0.0,0.2996,0.2996
13200.0,0.0,0.3028,0.3028
13300.0,0.0,0.3,0.3
13400.0,0.0,0.2981,0.2981
13500.0,0.0,0.302,0.302
13600.0,0.0,0.2989,0.2989
13700.0,0.0,0.2964,0.2964
13800.0,0.0,0.2977,0.2977
13900.0,0.0,0.2979,0.2979
14000.0,0.0,0.296,0.296
14100.0,0.0,0.2937,0.2937
14200.0,0.0,0.2955,0.2955
14300.0,0.0,0.2968,0.2968
14400.0,0.0,0.2932,0.2932
14500.0,0.0,0.2969,0.2969
14600.0,0.0,0.2946,0.2946
14700.0,0.0,0.2952,0.2952
14800.0,0.0,0.2944,0.2944
14900.0,0.0,0.294,0.294
15000.0,0.0,0.2948,0.2948
15100.0,0.0,0.2916,0.2916
15200.0,0.0,0.2912,0.2912
15300.0,0.0,0.2909,0.2909
15400.0,0.0,0.2926,0.2926
15500.0,0.0,0.2905,0.2905
15600.0,0.0,0.2911,0.2911
15700.0,0.0,0.2887,0.2887
15800.0,0.0,0.2872,0.2872
15900.0,0.0,0.2879,0.2879
16000.0,0.0,0.2898,0.2898
16100.0,0.0,0.2892,0.2892
16200.0,0.0,0.2883,0.2883
16300.0,0.0,0.2898,0.2898
16400.0,0.0,0.288,0.288
16500.0,0.0,0.2869,0.2869
16600.0,0.0,0.2866,0.2866
16700.0,0.0,0.2842,0.2842
16800.0,0.0,0.2873,0.2873
16900.0,0.0,0.2838,0.2838
17000.0,0.0,0.2864,0.2864
17100.0,0.0,0.2842,0.2842
17200.0,0.0,0.283,0.283
17300.0,0.0,0.2835,0.2835
17400.0,0.0,0.2829,0.2829
17500.0,0.0,0.2847,0.2847
17600.0,0.0,0.2835,0.2835
17700.0,0.0,0.2827,0.2827
17800.0,0.0,0.282,0.282
17900.0,0.0,0.2818,0.2818
18000.0,0.0,0.2824,0.2824
18100.0,0.0,0.2801,0.2801
18200.0,0.0,0.2793,0.2793
18300.0,0.0,0.2822,0.2822
18400.0,0.0,0.279,0.279
18500.0,0.0,0.2788,0.2788
18600.0,0.0,0.2775,0.2775
18700.0,0.0,0.279,0.279
18800.0,0.0,0.279,0.279
18900.0,0.0,0.2788,0.2788
19000.0,0.0,0.2756,0.2756
19100.0,0.0,0.2775,0.2775
19200.0,0.0,0.2784,0.2784
19300.0,0.0,0.2761,0.2761
19400.0,0.0,0.2766,0.2766
19500.0,0.0,0.2745,0.2745
19600.0,0.0,0.276,0.276
19700.0,0.0,0.2745,0.2745
19800.0,0.0,0.2774,0.2774
19900.0,0.0,0.2781,0.2781
20000.0,0.0,0.2745,0.2745
20100.0,0.0,0.2742,0.2742
20200.0,0.0,0.2735,0.2735
20300.0,0.0,0.2767,0.2767
20400.0,0.0,0.2739,0.2739
20500.0,0.0,0.2698,0.2698
20600.0,0.0,0.2726,0.2726
20700.0,0.0,0.2746,0.2746
20800.0,0.0,0.2729,0.2729
20900.0,0.0,0.2731,0.2731
21000.0,0.0,0.2747,0.2747
21100.0,0.0,0.2703,0.2703
21200.0,0.0,0.2693,0.2693
21300.0,0.0,0.2719,0.2719
21400.0,0.0,0.2696,0.2696
21500.0,0.0,0.2721,0.2721
21600.0,0.0,0.2696,0.2696
21700.0,0.0,0.2705,0.2705
21800.0,0.0,0.2707,0.2707
21900.0,0.0,0.2696,0.2696
22000.0,0.0,0.2655,0.2655
22100.0,0.0,0.2679,0.2679
22200.0,0.0,0.2693,0.2693
22300.0,0.0,0.2668,0.2668
22400.0,0.0,0.266,0.266
22500.0,0.0,0.2675,0.2675
22600.0,0.0,0.2695,0.2695
22700.0,0.0,0.2638,0.2638
22800.0,0.0,0.2663,0.2663
22900.0,0.0,0.2656,0.2656
23000.0,0.0,0.2645,0.2645
23100.0,0.0,0.2649,0.2649
23200.0,0.0,0.2663,0.2663
23300.0,0.0,0.2655,0.2655
23400.0,0.0,0.2634,0.2634
23500.0,0.0,0.2636,0.2636
23600.0,0.0,0.2642,0.2642
23700.0,0.0,0.2629,0.2629
23800.0,0.0,0.2657,0.2657
23900.0,0.0,0.2645,0.2645
24000.0,0.0,0.2645,0.2645
24100.0,0.0,0.2618,0.2618
24200.0,0.0,0.264,0.264
24300.0,0.0,0.2623,0.2623
24400.0,0.0,0.2642,0.2642
24500.0,0.0,0.2625,0.2625
24600.0,0.0,0.2614,0.2614
24700.0,0.0,0.2597,0.2597
24800.0,0.0,0.2601,0.2601
24900.0,0.0,0.2583,0.2583
25000.0,0.0,0.2608,0.2608
25100.0,0.0,0.2594,0.2594
25200.0,0.0,0.2607,0.2607
25300.0,0.0,0.2607,0.2607
25400.0,0.0,0.2603,0.2603
25500.0,0.0,0.2598,0.2598
25600.0,0.0,0.2599,0.2599
25700.0,0.0,0.2589,0.2589
25800.0,0.0,0.2581,0.2581
25900.0,0.0,0.257,0.257
26000.0,0.0,0.257,0.257
26100.0,0.0,0.2565,0.2565
26200.0,0.0,0.2587,0.2587
26300.0,0.0,0.2575,0.2575
26400.0,0.0,0.2556,0.2556
26500.0,0.0,0.2553,0.2553
26600.0,0.0,0.2552,0.2552
26700.0,0.0,0.2552,0.2552
26800.0,0.0,0.2558,0.2558
26900.0,0.0,0.2542,0.2542
27000.0,0.0,0.255,0.255
27100.0,0.0,0.2545,0.2545
27200.0,0.0,0.2571,0.2571
27300.0,0.0,0.255,0.255
27400.0,0.0,0.2557,0.2557
27500.0,0.0,0.2552,0.2552
27600.0,0.0,0.2526,0.2526
27700.0,0.0,0.253,0.253
27800.0,0.0,0.2525,0.2525
27900.0,0.0,0.2519,0.2519
28000.0,0.0,0.2536,0.2536
28100.0,0.0,0.2525,0.2525
28200.0,0.0,0.2537,0.2537
28300.0,0.0,0.2508,0.2508
28400.0,0.0,0.2526,0.2526
28500.0,0.0,0.2516,0.2516
28600.0,0.0,0.25,0.25
28700.0,0.0,0.2512,0.2512
28800.0,0.0,0.2498,0.2498
28900.0,0.0,0.2514,0.2514
29000.0,0.0,0.2502,0.2502
