step,mloss,gloss,loss
100.0,0.0,0.9466,0.9466
200.0,0.0,0.8167,0.8167
300.0,0.0,0.7391,0.7391
400.0,0.0,0.6908,0.6908
500.0,0.0,0.6391,0.6391
600.0,0.0,0.603,0.603
700.0,0.0,0.5697,0.5697
800.0,0.0,0.5549,0.5549
900.0,0.0,0.5427,0.5427
1000.0,0.0,0.5279,0.5279
1100.0,0.0,0.5139,0.5139
1200.0,0.0,0.5057,0.5057
1300.0,0.0,0.4965,0.4965
1400.0,0.0,0.4843,0.4843
1500.0,0.0,0.4797,0.4797
1600.0,0.0,0.4696,0.4696
1700.0,0.0,0.4687,0.4687
1800.0,0.0,0.4639,0.4639
1900.0,0.0,0.4532,0.4532
2000.0,0.0,0.445,0.445
2100.0,0.0,0.4396,0.4396
2200.0,0.0,0.4353,0.4353
2300.0,0.0,0.4302,0.4302
2400.0,0.0,0.427,0.427
2500.0,0.0,0.4206,0.4206
2600.0,0.0,0.4168,0.4168
2700.0,0.0,0.4134,0.4134
2800.0,0.0,0.4112,0.4112
2900.0,0.0,0.4106,0.4106
3000.0,0.0,0.4032,0.4032
3100.0,0.0,0.401,0.401
3200.0,0.0,0.3993,0.3993
3300.0,0.0,0.3937,0.3937
3400.0,0.0,0.3882,0.3882
3500.0,0.0,0.3904,0.3904
3600.0,0.0,0.3832,0.3832
3700.0,0.0,0.3839,0.3839
3800.0,0.0,0.3817,0.3817
3900.0,0.0,0.3814,0.3814
4000.0,0.0,0.3761,0.3761
4100.0,0.0,0.3733,0.3733
4200.0,0.0,0.3732,0.3732
4300.0,0.0,0.3736,0.3736
4400.0,0.0,0.3683,0.3683
4500.0,0.0,0.3662,0.3662
4600.0,0.0,0.3659,0.3659
4700.0,0.0,0.3629,0.3629
4800.0,0.0,0.3623,0.3623
4900.0,0.0,0.3627,0.3627
5000.0,0.0,0.36,0.36
5100.0,0.0,0.3569,0.3569
5200.0,0.0,0.3549,0.3549
5300.0,0.0,0.3571,0.3571
5400.0,0.0,0.3524,0.3524
5500.0,0.0,0.3501,0.3501
5600.0,0.0,0.351,0.351
5700.0,0.0,0.3514,0.3514
5800.0,0.0,0.3486,0.3486
5900.0,0.0,0.35,0.35
6000.0,0.0,0.3443,0.3443
6100.0,0.0,0.3449,0.3449
6200.0,0.0,0.3428,0.3428
6300.0,0.0,0.3427,0.3427
6400.0,0.0,0.3408,0.3408
6500.0,0.0,0.3418,0.3418
6600.0,0.0,0.3412,0.3412
6700.0,0.0,0.3391,0.3391
6800.0,0.0,0.3408,0.3408
6900.0,0.0,0.3371,0.3371
7000.0,0.0,0.3365,0.3365
7100.0,0.0,0.3374,0.3374
7200.0,0.0,0.3341,0.3341
7300.0,0.0,0.3326,0.3326
7400.0,0.0,0.3322,0.3322
7500.0,0.0,0.3303,0.3303
7600.0,0.0,0.3333,0.3333
7700.0,0.0,0.3309,0.3309
7800.0,0.0,0.3322,0.3322
7900.0,0.0,0.3316,0.3316
8000.0,0.0,0.3281,0.3281
8100.0,0.0,0.3289,0.3289
8200.0,0.0,0.3275,0.3275
8300.0,0.0,0.3271,0.3271
8400.0,0.0,0.3274,0.3274
8500.0,0.0,0.3256,0.3256
8600.0,0.0,0.3236,0.3236
8700.0,0.0,0.3248,0.3248
8800.0,0.0,0.3223,0.3223
8900.0,0.0,0.3218,0.3218
9000.0,0.0,0.3209,0.3209
9100.0,0.0,0.3246,0.3246
9200.0,0.0,0.3185,0.3185
9300.0,0.0,0.3205,0.3205
9400.0,0.0,0.3203,0.3203
9500.0,0.0,0.3195,0.3195
9600.0,0.0,0.3195,0.3195
9700.0,0.0,0.3165,0.3165
9800.0,0.0,0.3165,0.3165
9900.0,0.0,0.3146,0.3146
10000.0,0.0,0.3179,0.3179
10100.0,0.0,0.3148,0.3148
10200.0,0.0,0.3154,0.3154
10300.0,0.0,0.3119,0.3119
10400.0,0.0,0.3106,0.3106
10500.0,0.0,0.3114,0.3114
10600.0,0.0,0.3144,0.3144
10700.0,0.0,0.3129,0.3129
10800.0,0.0,0.3129,0.3129
10900.0,0.0,0.3094,0.3094
11000.0,0.0,0.3111,0.3111
11100.0,0.0,0.309,0.309
11200.0,0.0,0.3097,0.3097
11300.0,0.0,0.3082,0.3082
11400.0,0.0,0.3079,0.3079
11500.0,0.0,0.3084,0.3084
11600.0,0.0,0.3086,0.3086
11700.0,0.0,0.311,0.311
11800.0,0.0,0.3057,0.3057
