step,mloss,gloss,loss
100.0,0.0,0.9568,0.9568
200.0,0.0,0.8385,0.8385
300.0,0.0,0.7672,0.7672
400.0,0.0,0.7226,0.7226
500.0,0.0,0.6784,0.6784
600.0,0.0,0.65,0.65
700.0,0.0,0.6233,0.6233
800.0,0.0,0.6121,0.6121
900.0,0.0,0.5996,0.5996
1000.0,0.0,0.5852,0.5852
1100.0,0.0,0.5744,0.5744
1200.0,0.0,0.5643,0.5643
1300.0,0.0,0.5555,0.5555
1400.0,0.0,0.543,0.543
1500.0,0.0,0.5382,0.5382
1600.0,0.0,0.5278,0.5278
1700.0,0.0,0.5265,0.5265
1800.0,0.0,0.5201,0.5201
1900.0,0.0,0.5096,0.5096
2000.0,0.0,0.5021,0.5021
2100.0,0.0,0.494,0.494
2200.0,0.0,0.4894,0.4894
2300.0,0.0,0.4841,0.4841
2400.0,0.0,0.4796,0.4796
2500.0,0.0,0.4704,0.4704
2600.0,0.0,0.4656,0.4656
2700.0,0.0,0.46,0.46
2800.0,0.0,0.4553,0.4553
2900.0,0.0,0.4541,0.4541
3000.0,0.0,0.4454,0.4454
3100.0,0.0,0.442,0.442
3200.0,0.0,0.4352,0.4352
3300.0,0.0,0.4318,0.4318
3400.0,0.0,0.4253,0.4253
3500.0,0.0,0.4244,0.4244
3600.0,0.0,0.4173,0.4173
3700.0,0.0,0.4175,0.4175
3800.0,0.0,0.4131,0.4131
3900.0,0.0,0.4113,0.4113
4000.0,0.0,0.4068,0.4068
4100.0,0.0,0.4026,0.4026
4200.0,0.0,0.4028,0.4028
4300.0,0.0,0.4004,0.4004
4400.0,0.0,0.3958,0.3958
4500.0,0.0,0.3927,0.3927
4600.0,0.0,0.3918,0.3918
4700.0,0.0,0.3877,0.3877
4800.0,0.0,0.3872,0.3872
4900.0,0.0,0.3866,0.3866
5000.0,0.0,0.3843,0.3843
5100.0,0.0,0.3792,0.3792
5200.0,0.0,0.3783,0.3783
5300.0,0.0,0.3807,0.3807
5400.0,0.0,0.3738,0.3738
5500.0,0.0,0.3691,0.3691
5600.0,0.0,0.3713,0.3713
5700.0,0.0,0.3711,0.3711
5800.0,0.0,0.3675,0.3675
5900.0,0.0,0.3681,0.3681
6000.0,0.0,0.3629,0.3629
6100.0,0.0,0.3638,0.3638
6200.0,0.0,0.3609,0.3609
6300.0,0.0,0.3609,0.3609
6400.0,0.0,0.3575,0.3575
6500.0,0.0,0.3579,0.3579
6600.0,0.0,0.3578,0.3578
6700.0,0.0,0.3563,0.3563
6800.0,0.0,0.3571,0.3571
6900.0,0.0,0.3525,0.3525
7000.0,0.0,0.3531,0.3531
7100.0,0.0,0.3535,0.3535
7200.0,0.0,0.3483,0.3483
7300.0,0.0,0.3487,0.3487
7400.0,0.0,0.3479,0.3479
7500.0,0.0,0.345,0.345
7600.0,0.0,0.3468,0.3468
7700.0,0.0,0.347,0.347
7800.0,0.0,0.3463,0.3463
7900.0,0.0,0.3458,0.3458
8000.0,0.0,0.3425,0.3425
8100.0,0.0,0.3441,0.3441
8200.0,0.0,0.3419,0.3419
8300.0,0.0,0.3389,0.3389
8400.0,0.0,0.3419,0.3419
8500.0,0.0,0.3385,0.3385
8600.0,0.0,0.3373,0.3373
8700.0,0.0,0.3376,0.3376
8800.0,0.0,0.336,0.336
8900.0,0.0,0.3358,0.3358
9000.0,0.0,0.3335,0.3335
9100.0,0.0,0.3367,0.3367
9200.0,0.0,0.3325,0.3325
9300.0,0.0,0.3329,0.3329
9400.0,0.0,0.3319,0.3319
9500.0,0.0,0.3328,0.3328
9600.0,0.0,0.3323,0.3323
9700.0,0.0,0.3272,0.3272
9800.0,0.0,0.329,0.329
9900.0,0.0,0.3266,0.3266
10000.0,0.0,0.3275,0.3275
10100.0,0.0,0.3266,0.3266
10200.0,0.0,0.3277,0.3277
10300.0,0.0,0.323,0.323
10400.0,0.0,0.3213,0.3213
10500.0,0.0,0.3239,0.3239
10600.0,0.0,0.3244,0.3244
10700.0,0.0,0.3236,0.3236
10800.0,0.0,0.3226,0.3226
10900.0,0.0,0.3203,0.3203
11000.0,0.0,0.3222,0.3222
11100.0,0.0,0.3193,0.3193
11200.0,0.0,0.3203,0.3203
11300.0,0.0,0.3182,0.3182
11400.0,0.0,0.3177,0.3177
11500.0,0.0,0.3189,0.3189
11600.0,0.0,0.3174,0.3174
11700.0,0.0,0.3194,0.3194
11800.0,0.0,0.3155,0.3155
11900.0,0.0,0.3142,0.3142
12000.0,0.0,0.3152,0.3152
12100.0,0.0,0.3135,0.3135
12200.0,0.0,0.3137,0.3137
12300.0,0.0,0.3125,0.3125
12400.0,0.0,0.3116,0.3116
12500.0,0.0,0.3098,0.3098
12600.0,0.0,0.3108,0.3108
12700.0,0.0,0.3095,0.3095
12800.0,0.0,0.3093,0.3093
12900.0,0.0,0.3074,0.3074
13000.0,0.0,0.3119,0.3119
13100.0,0.0,0.3063,0.3063
13200.0,0.0,0.3089,0.3089
13300.0,0.0,0.3058,0.3058
