step,mloss,gloss,loss
100.0,0.0,0.9585,0.9585
200.0,0.0,0.8399,0.8399
300.0,0.0,0.7666,0.7666
400.0,0.0,0.722,0.722
500.0,0.0,0.6779,0.6779
600.0,0.0,0.6477,0.6477
700.0,0.0,0.6207,0.6207
800.0,0.0,0.6085,0.6085
900.0,0.0,0.5976,0.5976
1000.0,0.0,0.5834,0.5834
1100.0,0.0,0.5718,0.5718
1200.0,0.0,0.5627,0.5627
1300.0,0.0,0.5527,0.5527
1400.0,0.0,0.541,0.541
1500.0,0.0,0.5348,0.5348
1600.0,0.0,0.5249,0.5249
1700.0,0.0,0.5229,0.5229
1800.0,0.0,0.516,0.516
1900.0,0.0,0.5062,0.5062
2000.0,0.0,0.4976,0.4976
2100.0,0.0,0.4914,0.4914
2200.0,0.0,0.4841,0.4841
2300.0,0.0,0.4797,0.4797
2400.0,0.0,0.4734,0.4734
2500.0,0.0,0.4673,0.4673
2600.0,0.0,0.4607,0.4607
2700.0,0.0,0.458,0.458
2800.0,0.0,0.4534,0.4534
2900.0,0.0,0.4524,0.4524
3000.0,0.0,0.4455,0.4455
3100.0,0.0,0.44,0.44
3200.0,0.0,0.4386,0.4386
3300.0,0.0,0.433,0.433
3400.0,0.0,0.4268,0.4268
3500.0,0.0,0.4269,0.4269
3600.0,0.0,0.42,0.42
3700.0,0.0,0.4201,0.4201
3800.0,0.0,0.4178,0.4178
3900.0,0.0,0.4145,0.4145
4000.0,0.0,0.4094,0.4094
4100.0,0.0,0.4066,0.4066
4200.0,0.0,0.4055,0.4055
4300.0,0.0,0.4065,0.4065
4400.0,0.0,0.4002,0.4002
4500.0,0.0,0.3966,0.3966
4600.0,0.0,0.3961,0.3961
4700.0,0.0,0.3916,0.3916
4800.0,0.0,0.3885,0.3885
4900.0,0.0,0.3895,0.3895
5000.0,0.0,0.3852,0.3852
5100.0,0.0,0.3806,0.3806
5200.0,0.0,0.3791,0.3791
5300.0,0.0,0.3796,0.3796
5400.0,0.0,0.3735,0.3735
5500.0,0.0,0.371,0.371
5600.0,0.0,0.3725,0.3725
5700.0,0.0,0.3714,0.3714
5800.0,0.0,0.3682,0.3682
5900.0,0.0,0.3687,0.3687
6000.0,0.0,0.3625,0.3625
6100.0,0.0,0.3637,0.3637
6200.0,0.0,0.3621,0.3621
6300.0,0.0,0.3616,0.3616
6400.0,0.0,0.3565,0.3565
6500.0,0.0,0.3583,0.3583
6600.0,0.0,0.3576,0.3576
6700.0,0.0,0.3558,0.3558
6800.0,0.0,0.3576,0.3576
6900.0,0.0,0.3531,0.3531
7000.0,0.0,0.3518,0.3518
7100.0,0.0,0.3523,0.3523
7200.0,0.0,0.3483,0.3483
7300.0,0.0,0.3467,0.3467
7400.0,0.0,0.348,0.348
7500.0,0.0,0.3451,0.3451
7600.0,0.0,0.3466,0.3466
7700.0,0.0,0.3448,0.3448
7800.0,0.0,0.346,0.346
7900.0,0.0,0.3457,0.3457
8000.0,0.0,0.3428,0.3428
8100.0,0.0,0.3435,0.3435
8200.0,0.0,0.3412,0.3412
8300.0,0.0,0.3401,0.3401
8400.0,0.0,0.3409,0.3409
8500.0,0.0,0.3398,0.3398
8600.0,0.0,0.3367,0.3367
8700.0,0.0,0.34,0.34
8800.0,0.0,0.336,0.336
8900.0,0.0,0.3356,0.3356
9000.0,0.0,0.3346,0.3346
9100.0,0.0,0.3354,0.3354
9200.0,0.0,0.3308,0.3308
9300.0,0.0,0.3333,0.3333
9400.0,0.0,0.3324,0.3324
9500.0,0.0,0.3319,0.3319
9600.0,0.0,0.3332,0.3332
9700.0,0.0,0.3287,0.3287
9800.0,0.0,0.3285,0.3285
9900.0,0.0,0.3282,0.3282
10000.0,0.0,0.3292,0.3292
10100.0,0.0,0.3263,0.3263
10200.0,0.0,0.3275,0.3275
10300.0,0.0,0.3243,0.3243
10400.0,0.0,0.3214,0.3214
10500.0,0.0,0.3246,0.3246
10600.0,0.0,0.3252,0.3252
10700.0,0.0,0.3248,0.3248
10800.0,0.0,0.3243,0.3243
10900.0,0.0,0.321,0.321
11000.0,0.0,0.3235,0.3235
11100.0,0.0,0.3193,0.3193
11200.0,0.0,0.3216,0.3216
11300.0,0.0,0.3198,0.3198
11400.0,0.0,0.3194,0.3194
11500.0,0.0,0.3202,0.3202
11600.0,0.0,0.3195,0.3195
11700.0,0.0,0.3211,0.3211
11800.0,0.0,0.3176,0.3176
11900.0,0.0,0.3147,0.3147
12000.0,0.0,0.3168,0.3168
12100.0,0.0,0.3157,0.3157
12200.0,0.0,0.3147,0.3147
12300.0,0.0,0.314,0.314
12400.0,0.0,0.3134,0.3134
12500.0,0.0,0.3115,0.3115
12600.0,0.0,0.3126,0.3126
12700.0,0.0,0.3108,0.3108
12800.0,0.0,0.3114,0.3114
12900.0,0.0,0.31,0.31
13000.0,0.0,0.3138,0.3138
13100.0,0.0,0.309,0.309
13200.0,0.0,0.3106,0.3106
13300.0,0.0,0.3076,0.3076
13400.0,0.0,0.3069,0.3069
13500.0,0.0,0.309,0.309
13600.0,0.0,0.3062,0.3062
13700.0,0.0,0.3054,0.3054
13800.0,0.0,0.3055,0.3055
13900.0,0.0,0.3055,0.3055
14000.0,0.0,0.3042,0.3042
14100.0,0.0,0.3033,0.3033
14200.0,0.0,0.3031,0.3031
14300.0,0.0,0.3039,0.3039
14400.0,0.0,0.3004,0.3004
14500.0,0.0,0.304,0.304
