step,mloss,gloss,loss
100.0,0.0,0.9566,0.9566
200.0,0.0,0.836,0.836
300.0,0.0,0.7646,0.7646
400.0,0.0,0.7216,0.7216
500.0,0.0,0.6779,0.6779
600.0,0.0,0.6487,0.6487
700.0,0.0,0.6214,0.6214
800.0,0.0,0.609,0.609
900.0,0.0,0.5964,0.5964
1000.0,0.0,0.5817,0.5817
1100.0,0.0,0.5692,0.5692
1200.0,0.0,0.5573,0.5573
1300.0,0.0,0.5468,0.5468
1400.0,0.0,0.5318,0.5318
1500.0,0.0,0.5234,0.5234
1600.0,0.0,0.5101,0.5101
1700.0,0.0,0.5063,0.5063
1800.0,0.0,0.4995,0.4995
1900.0,0.0,0.4875,0.4875
2000.0,0.0,0.4789,0.4789
2100.0,0.0,0.471,0.471
2200.0,0.0,0.4652,0.4652
2300.0,0.0,0.461,0.461
2400.0,0.0,0.4568,0.4568
2500.0,0.0,0.4498,0.4498
2600.0,0.0,0.4455,0.4455
2700.0,0.0,0.4416,0.4416
2800.0,0.0,0.438,0.438
2900.0,0.0,0.4365,0.4365
3000.0,0.0,0.4297,0.4297
3100.0,0.0,0.4262,0.4262
3200.0,0.0,0.4235,0.4235
3300.0,0.0,0.4179,0.4179
3400.0,0.0,0.4122,0.4122
3500.0,0.0,0.4128,0.4128
3600.0,0.0,0.4073,0.4073
3700.0,0.0,0.4086,0.4086
3800.0,0.0,0.4061,0.4061
3900.0,0.0,0.4035,0.4035
4000.0,0.0,0.3997,0.3997
4100.0,0.0,0.3973,0.3973
4200.0,0.0,0.3972,0.3972
4300.0,0.0,0.3978,0.3978
4400.0,0.0,0.3935,0.3935
4500.0,0.0,0.3903,0.3903
4600.0,0.0,0.3908,0.3908
4700.0,0.0,0.3876,0.3876
4800.0,0.0,0.3864,0.3864
4900.0,0.0,0.3858,0.3858
5000.0,0.0,0.3839,0.3839
5100.0,0.0,0.3798,0.3798
5200.0,0.0,0.3788,0.3788
5300.0,0.0,0.3806,0.3806
5400.0,0.0,0.3755,0.3755
5500.0,0.0,0.3727,0.3727
5600.0,0.0,0.374,0.374
5700.0,0.0,0.373,0.373
5800.0,0.0,0.3702,0.3702
5900.0,0.0,0.3701,0.3701
6000.0,0.0,0.3644,0.3644
6100.0,0.0,0.3635,0.3635
6200.0,0.0,0.3612,0.3612
6300.0,0.0,0.3606,0.3606
6400.0,0.0,0.3566,0.3566
6500.0,0.0,0.3578,0.3578
6600.0,0.0,0.3555,0.3555
6700.0,0.0,0.3543,0.3543
6800.0,0.0,0.3569,0.3569
6900.0,0.0,0.3505,0.3505
7000.0,0.0,0.3507,0.3507
7100.0,0.0,0.3505,0.3505
7200.0,0.0,0.3457,0.3457
7300.0,0.0,0.3454,0.3454
7400.0,0.0,0.3456,0.3456
7500.0,0.0,0.3422,0.3422
7600.0,0.0,0.3439,0.3439
7700.0,0.0,0.3429,0.3429
7800.0,0.0,0.3432,0.3432
7900.0,0.0,0.3418,0.3418
8000.0,0.0,0.3397,0.3397
8100.0,0.0,0.3401,0.3401
8200.0,0.0,0.3368,0.3368
8300.0,0.0,0.3365,0.3365
8400.0,0.0,0.3375,0.3375
8500.0,0.0,0.3362,0.3362
8600.0,0.0,0.3331,0.3331
8700.0,0.0,0.334,0.334
